"FIDE_ID","FullName","Master","FIDEName","Fed","Sex","Tit","WTit","OTit","FOA","SRtng","SGm","SK","RRtng","RGm","Rk","BRtng","BGm","BK","B-day","Flag","Country"
NA,"Paul Morphy","Morphy, P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4121830","Alexander Motylev","Motylev, A","Motylev, Alexander","ROU","M","GM",NA,"FST",NA,2605,9,10,2652,0,10,2532,0,10,1979,NA,"Romania"
"310204","Sergei Movsesian","Movsesian, S","Movsesian, Sergei","ARM","M","GM",NA,"FT",NA,2617,4,10,2616,0,10,2570,0,10,1978,NA,"Armenia"
"14114550","Mariya Muzychuk","Muzychuk, M","Muzychuk, Mariya","UKR","F","GM","WGM",NA,NA,2511,6,10,2470,0,10,2443,0,10,1992,"w","Ukraine"
NA,"Miguel Najdorf","Najdorf, M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4118987","Evgeny Najer","Najer, E","Najer, Evgeniy","FID","M","GM",NA,"FST",NA,2646,0,10,2579,0,10,2545,0,10,1977,NA,"FIDE"
"2016192","Hikaru Nakamura","Nakamura, H","Nakamura, Hikaru","USA","M","GM",NA,NA,NA,2787,9,10,2748,0,10,2874,0,10,1987,NA,"United States of America"
"309095","David Navara","Navara, D","Navara, David","CZE","M","GM",NA,NA,NA,2689,0,10,2689,10,10,2675,0,10,1985,NA,"Czech Republic"
"5016690","Parimarjan Negi","Negi, P","Negi, Parimarjan","IND","M","GM",NA,NA,NA,2624,0,10,2613,0,10,2613,0,10,1993,NA,"India"
"4168119","Ian Nepomniachtchi","Nepomniachtchi, I","Nepomniachtchi, Ian","RUS","M","GM",NA,NA,NA,2779,0,10,2760,0,10,2781,0,10,1990,NA,"Russia"
NA,"Ni Hua","Ni Hua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1400355","Peter Nielsen","Nielsen, P","Nielsen, Peter Heine","DEN","M","GM",NA,NA,NA,2618,0,10,2669,0,10,2546,0,10,1973,"i","Denmark"
"14400014","Predrag Nikolic","Nikolic, P","Nikolic, Predrag","BIH","M","GM",NA,NA,NA,2531,0,10,2634,0,10,2550,0,10,1960,NA,"Bosnia & Herzegovina"
NA,"Aron Nimzowitsch","Nimzowitsch, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1202758","Liviu-Dieter Nisipeanu","Nisipeanu, L","Nisipeanu, Liviu-Dieter","ROU","M","GM",NA,NA,NA,2600,0,10,2629,0,10,2625,0,10,1976,NA,"Romania"
"14100037","Igor Novikov","Novikov, I","Novikov, Igor","USA","M","GM",NA,NA,NA,2527,0,10,NA,NA,NA,NA,NA,NA,1962,NA,"United States of America"
"400017","John Nunn","Nunn, J","Nunn, John D M","ENG","M","GM",NA,NA,NA,2570,9,10,2536,0,10,2490,0,10,1955,NA,"England"
"2300052","Fridrik Olafsson","Olafsson, F","Olafsson, Fridrik","ISL","M","GM",NA,NA,NA,2355,0,10,2348,0,20,2336,0,10,1935,"i","Iceland"
NA,"Lembit Oll","Oll, L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14101025","Alexander Onischuk","Onischuk, A","Onischuk, Alexander","USA","M","GM",NA,NA,NA,2640,0,10,2683,0,10,2639,6,10,1975,"i","United States of America"
NA,"Ludek Pachman","Pachman, L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4641833","Elisabeth Paehtz","Paehtz, E","Paehtz, Elisabeth","GER","F","GM","WGM",NA,NA,2471,8,10,2373,0,10,2339,0,10,1985,"w","Germany"
"100153","Oscar Panno","Panno, O","Panno, Oscar","ARG","M","GM",NA,NA,NA,2438,0,10,NA,NA,NA,2440,0,10,1935,"i","Argentina"
NA,"Louis Paulsen","Paulsen, L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Tigran Petrosian","Petrosian, T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Francois Philidor","Philidor, F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Harry Pillsbury","Pillsbury, H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Herman Pilnik","Pilnik, H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
